year,expected_days,accepted_days,accepted_coverage_pct,days_below_q90,deficit_volume_m3
1967,365,365,100.0,0,0.0
1968,366,366,100.0,0,0.0
1969,365,365,100.0,0,0.0
1970,365,365,100.0,0,0.0
1971,365,365,100.0,6,1555.2000000000014
1972,366,366,100.0,45,32400.00000000003
1973,365,365,100.0,43,98150.40000000007
1974,365,365,100.0,49,89856.00000000006
1975,365,365,100.0,0,0.0
1976,366,366,100.0,88,670032.0000000003
1977,365,365,100.0,0,0.0
1978,365,365,100.0,0,0.0
1979,365,317,86.849,0,0.0
1980,366,366,100.0,0,0.0
1981,365,364,99.726,0,0.0
1982,365,365,100.0,0,0.0
1983,365,365,100.0,0,0.0
1984,366,366,100.0,0,0.0
1985,365,365,100.0,0,0.0
1986,365,365,100.0,0,0.0
1987,365,365,100.0,0,0.0
1988,366,366,100.0,0,0.0
1989,365,365,100.0,101,189561.60000000012
1990,365,286,78.356,109,699753.5999999999
1991,365,327,89.589,171,1276128.0000000002
1992,366,357,97.541,157,1204156.7999999998
1993,365,365,100.0,10,3110.400000000003
1994,365,364,99.726,0,0.0
1995,365,348,95.342,0,0.0
1996,366,363,99.18,154,1184111.9999999995
1997,365,365,100.0,79,195264.00000000015
1998,365,365,100.0,0,0.0
1999,365,364,99.726,0,0.0
2000,366,366,100.0,0,0.0
2001,365,365,100.0,0,0.0
2002,365,361,98.904,1,1036.8000000000009
2003,365,341,93.425,24,33955.200000000026
2004,366,358,97.814,0,0.0
2005,365,359,98.356,0,0.0
2006,365,359,98.356,73,217728.00000000006
2007,365,321,87.945,0,0.0
2008,366,344,93.989,0,0.0
2009,365,347,95.068,88,318038.4000000001
2010,365,351,96.164,0,0.0
2011,365,361,98.904,144,607305.5999999999
2012,366,358,97.814,3,1296.0000000000011
2013,365,358,98.082,0,0.0
2014,365,363,99.452,2,518.4000000000004
2015,365,360,98.63,30,31190.400000000027
2016,366,353,96.448,0,0.0
2017,365,357,97.808,18,11059.200000000008
2018,365,361,98.904,2,1036.8000000000009
2019,365,313,85.753,62,245376.0000000001
2020,366,333,90.984,30,46396.80000000004
2021,365,364,99.726,0,0.0
2022,365,362,99.178,78,231811.19999999998
2023,365,358,98.082,18,34560.000000000015
