period_type,year,start_date,end_date,expected_days,observed_rows,numeric_days,accepted_days,good_only_days,missing_dates,longest_missing_run_days,numeric_coverage_pct,accepted_coverage_pct,good_only_coverage_pct,boundary_period
calendar_year,1966,1966-01-01,1966-12-31,365,245,245,245,244,120,120,67.123,67.123,66.849,True
calendar_year,1967,1967-01-01,1967-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1968,1968-01-01,1968-12-31,366,366,366,366,366,0,0,100.0,100.0,100.0,False
calendar_year,1969,1969-01-01,1969-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1970,1970-01-01,1970-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1971,1971-01-01,1971-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1972,1972-01-01,1972-12-31,366,366,366,366,366,0,0,100.0,100.0,100.0,False
calendar_year,1973,1973-01-01,1973-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1974,1974-01-01,1974-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1975,1975-01-01,1975-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1976,1976-01-01,1976-12-31,366,366,366,366,366,0,0,100.0,100.0,100.0,False
calendar_year,1977,1977-01-01,1977-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1978,1978-01-01,1978-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1979,1979-01-01,1979-12-31,365,365,348,317,225,0,0,95.342,86.849,61.644,False
calendar_year,1980,1980-01-01,1980-12-31,366,366,366,366,169,0,0,100.0,100.0,46.175,False
calendar_year,1981,1981-01-01,1981-12-31,365,365,365,364,349,0,0,100.0,99.726,95.616,False
calendar_year,1982,1982-01-01,1982-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1983,1983-01-01,1983-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1984,1984-01-01,1984-12-31,366,366,366,366,354,0,0,100.0,100.0,96.721,False
calendar_year,1985,1985-01-01,1985-12-31,365,365,365,365,352,0,0,100.0,100.0,96.438,False
calendar_year,1986,1986-01-01,1986-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1987,1987-01-01,1987-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1988,1988-01-01,1988-12-31,366,366,366,366,366,0,0,100.0,100.0,100.0,False
calendar_year,1989,1989-01-01,1989-12-31,365,365,365,365,365,0,0,100.0,100.0,100.0,False
calendar_year,1990,1990-01-01,1990-12-31,365,365,327,286,286,0,0,89.589,78.356,78.356,False
calendar_year,1991,1991-01-01,1991-12-31,365,365,334,327,327,0,0,91.507,89.589,89.589,False
