quality_screen,threshold,pooling,event_count,uncensored_event_count,maximum_uncensored_duration_days,maximum_uncensored_deficit_m3,total_uncensored_deficit_m3
accepted,Q80,none,194,165,145,2020032.0000000002,16104873.600000005
accepted,Q80,merge_gaps_up_to_5_days,85,57,252,2473286.4000000004,12240115.200000003
accepted,Q90,none,142,123,143,1196985.6000000003,5676566.400000002
accepted,Q90,merge_gaps_up_to_5_days,75,57,160,1197417.6000000003,5126630.400000002
accepted,Q95,none,47,35,82,422029.44000000035,1827429.1200000024
accepted,Q95,merge_gaps_up_to_5_days,29,18,132,561072.9600000004,1611290.8800000022
good_only,Q80,none,189,159,145,1982448.0000000002,14991350.400000004
good_only,Q80,merge_gaps_up_to_5_days,85,56,244,2412720.0000000005,13068777.600000003
good_only,Q90,none,142,121,143,1184630.4000000001,5456851.200000002
good_only,Q90,merge_gaps_up_to_5_days,76,56,160,1184889.6,4923763.200000002
good_only,Q95,none,49,37,82,405734.39999999997,1797811.2
good_only,Q95,merge_gaps_up_to_5_days,28,17,132,536716.7999999999,1514678.4
