event_id,start_date,end_date,duration_days,minimum_flow_m3s,deficit_volume_m3,mean_daily_deficit_m3s,left_censored,right_censored
1,1971-09-18,1971-09-23,6,0.269,1555.2000000000014,0.0030000000000000027,False,False
2,1972-08-22,1972-09-07,17,0.254,13564.800000000012,0.009235294117647067,False,False
3,1972-09-26,1972-09-27,2,0.271,432.00000000000034,0.0025000000000000022,False,False
4,1972-10-02,1972-10-03,2,0.268,777.6000000000006,0.004500000000000004,False,False
5,1972-10-06,1972-10-23,18,0.25,15033.600000000013,0.009666666666666676,False,False
6,1972-10-25,1972-10-26,2,0.273,172.80000000000015,0.0010000000000000009,False,False
7,1972-10-28,1972-10-31,4,0.265,2419.200000000002,0.007000000000000006,False,False
8,1973-06-05,1973-06-18,14,0.211,34560.000000000015,0.028571428571428584,False,False
9,1973-07-05,1973-07-05,1,0.266,691.2000000000006,0.008000000000000007,False,False
10,1973-08-16,1973-08-16,1,0.271,259.2000000000002,0.0030000000000000027,False,False
11,1973-08-18,1973-08-19,2,0.267,1036.8000000000009,0.006000000000000005,False,False
12,1973-08-22,1973-09-15,25,0.221,61603.20000000003,0.028520000000000018,False,False
13,1974-06-16,1974-06-16,1,0.269,432.0000000000004,0.0050000000000000044,False,False
14,1974-06-21,1974-06-22,2,0.263,1728.0000000000016,0.010000000000000009,False,False
15,1974-06-24,1974-06-26,3,0.262,2246.400000000002,0.008666666666666675,False,False
16,1974-06-29,1974-06-29,1,0.266,691.2000000000006,0.008000000000000007,False,False
17,1974-07-01,1974-07-01,1,0.26,1209.600000000001,0.014000000000000012,False,False
18,1974-07-11,1974-07-12,2,0.258,1814.4000000000017,0.01050000000000001,False,False
19,1974-07-21,1974-08-03,14,0.23,32918.40000000002,0.027214285714285736,False,False
20,1974-08-06,1974-08-07,2,0.265,950.4000000000009,0.005500000000000005,False,False
21,1974-08-20,1974-08-20,1,0.268,518.4000000000004,0.006000000000000005,False,False
22,1974-08-23,1974-08-25,3,0.238,7689.600000000007,0.029666666666666692,False,False
23,1974-08-27,1974-08-31,5,0.248,7603.200000000006,0.017600000000000015,False,False
24,1974-09-09,1974-09-22,14,0.227,32054.40000000002,0.026500000000000017,False,False
25,1976-06-08,1976-08-27,81,0.13,648432.0000000001,0.09265432098765435,False,False
26,1976-08-29,1976-08-29,1,0.251,1987.2000000000019,0.02300000000000002,False,False
27,1976-09-05,1976-09-10,6,0.222,19612.800000000007,0.03783333333333335,False,False
28,1989-07-22,1989-07-29,8,0.249,7344.000000000006,0.01062500000000001,False,False
29,1989-08-05,1989-08-09,5,0.265,2937.6000000000026,0.006800000000000006,False,False
30,1989-08-16,1989-08-25,10,0.214,36633.60000000002,0.04240000000000002,False,False
