event_id,start_date,end_date,duration_days,deficit_volume_m3,rainfall_180d_mm,rainfall_180d_seasonal_percentile,rainfall_180d_reference_n,rainfall_365d_mm,rainfall_365d_seasonal_percentile,rainfall_365d_reference_n,groundwater_date,groundwater_offset_days,groundwater_level_mAOD,groundwater_quality,groundwater_seasonal_percentile,groundwater_reference_n
1,1971-09-18,1971-09-23,6,1555.2000000000014,350.29,66.66666666666667,30,782.52,60.0,30,1971-10-14,26,29.49,Good,67.3913043478261,23
2,1972-08-22,1972-09-07,17,13564.800000000012,261.3,30.0,30,569.09,3.3333333333333335,30,1972-08-15,-7,29.65,Good,95.0,20
3,1972-09-26,1972-09-27,2,432.00000000000034,238.9,10.0,30,581.61,6.666666666666667,30,1972-09-12,-14,29.58,Good,77.27272727272727,22
4,1972-10-02,1972-10-03,2,777.6000000000006,228.51,6.666666666666667,30,578.49,6.666666666666667,30,1972-10-10,8,29.55,Good,73.91304347826087,23
5,1972-10-06,1972-10-23,18,15033.600000000013,217.82,3.3333333333333335,30,576.59,10.0,30,1972-10-10,4,29.55,Good,73.91304347826087,23
6,1972-10-25,1972-10-26,2,172.80000000000015,213.19,3.3333333333333335,30,534.82,0.0,30,1972-10-10,-15,29.55,Good,73.91304347826087,23
7,1972-10-28,1972-10-31,4,2419.200000000002,198.12,3.3333333333333335,30,536.62,0.0,30,1972-10-10,-18,29.55,Good,73.91304347826087,23
8,1973-06-05,1973-06-18,14,34560.000000000015,225.0,6.666666666666667,30,497.41,0.0,30,1973-05-22,-14,29.65,Good,69.04761904761905,21
9,1973-07-05,1973-07-05,1,691.2000000000006,257.3,10.0,30,536.63,0.0,30,1973-06-29,-6,29.7,Good,84.21052631578948,19
10,1973-08-16,1973-08-16,1,259.2000000000002,292.71000000000004,40.0,30,565.17,0.0,30,1973-08-21,5,29.64,Good,95.0,20
11,1973-08-18,1973-08-19,2,1036.8000000000009,292.51,40.0,30,565.17,0.0,30,1973-08-21,3,29.64,Good,95.0,20
12,1973-08-22,1973-09-15,25,61603.20000000003,291.03000000000003,36.666666666666664,30,565.17,0.0,30,1973-08-21,-1,29.64,Good,95.0,20
13,1974-06-16,1974-06-16,1,432.0000000000004,313.99,30.0,30,613.46,20.0,30,1974-06-24,8,29.57,Good,65.78947368421052,19
14,1974-06-21,1974-06-22,2,1728.0000000000016,305.41,33.333333333333336,30,585.52,6.666666666666667,30,1974-06-24,3,29.57,Good,65.78947368421052,19
15,1974-06-24,1974-06-26,3,2246.400000000002,300.92,33.333333333333336,30,585.52,10.0,30,1974-06-24,0,29.57,Good,65.78947368421052,19
16,1974-06-29,1974-06-29,1,691.2000000000006,333.97,53.333333333333336,30,592.79,6.666666666666667,30,1974-06-24,-5,29.57,Good,65.78947368421052,19
17,1974-07-01,1974-07-01,1,1209.600000000001,335.97,53.333333333333336,30,594.79,6.666666666666667,30,1974-06-24,-7,29.57,Good,65.78947368421052,19
18,1974-07-11,1974-07-12,2,1814.4000000000017,297.51,40.0,30,595.82,10.0,30,1974-07-22,11,29.56,Good,82.6923076923077,26
19,1974-07-21,1974-08-03,14,32918.40000000002,301.66,43.333333333333336,30,586.0,10.0,30,1974-07-22,1,29.56,Good,82.6923076923077,26
20,1974-08-06,1974-08-07,2,950.4000000000009,292.03,43.333333333333336,30,593.74,3.3333333333333335,30,1974-07-22,-15,29.56,Good,82.6923076923077,26
21,1974-08-20,1974-08-20,1,518.4000000000004,263.44,26.666666666666668,30,620.58,10.0,30,1974-09-02,13,29.62,Good,88.63636363636364,22
22,1974-08-23,1974-08-25,3,7689.600000000007,262.54,26.666666666666668,30,620.58,10.0,30,1974-09-02,10,29.62,Good,88.63636363636364,22
23,1974-08-27,1974-08-31,5,7603.200000000006,279.12,30.0,30,637.26,13.333333333333334,30,1974-09-02,6,29.62,Good,88.63636363636364,22
24,1974-09-09,1974-09-22,14,32054.40000000002,341.02,70.0,30,715.9,40.0,30,1974-09-02,-7,29.62,Good,88.63636363636364,22
25,1976-06-08,1976-08-27,81,648432.0000000001,114.19,0.0,30,414.84,0.0,30,1976-05-28,-11,29.67,Good,76.19047619047619,21
26,1976-08-29,1976-08-29,1,1987.2000000000019,101.28,0.0,30,388.67,0.0,30,1976-08-26,-3,29.44,Good,50.0,20
27,1976-09-05,1976-09-10,6,19612.800000000007,112.48,0.0,30,399.06,0.0,30,1976-08-26,-10,29.44,Good,50.0,20
28,1989-07-22,1989-07-29,8,7344.000000000006,282.31,30.0,30,528.27,0.0,30,1989-07-13,-9,29.51,Good,63.46153846153846,26
29,1989-08-05,1989-08-09,5,2937.6000000000026,280.14,33.333333333333336,30,513.26,0.0,30,1989-08-08,3,29.47,Good,65.0,20
30,1989-08-16,1989-08-25,10,36633.60000000002,295.63,40.0,30,536.74,0.0,30,1989-08-08,-8,29.47,Good,65.0,20
31,1989-08-29,1989-09-13,16,38880.00000000003,255.44,13.333333333333334,30,529.43,0.0,30,1989-09-07,9,29.39,Good,40.90909090909091,22
32,1989-09-15,1989-09-15,1,172.80000000000015,225.43,10.0,30,508.67,0.0,30,1989-09-07,-8,29.39,Good,40.90909090909091,22
33,1989-09-23,1989-10-19,27,60307.20000000004,216.54,10.0,30,505.55,0.0,30,1989-09-07,-16,29.39,Good,40.90909090909091,22
34,1989-10-21,1989-11-02,13,28771.200000000026,191.3,0.0,30,452.34,0.0,30,1989-10-11,-10,29.45,Good,60.869565217391305,23
35,1989-11-04,1989-11-07,4,3456.000000000003,221.58,0.0,30,499.2,0.0,30,1989-11-08,4,29.51,Good,35.714285714285715,21
36,1989-11-19,1989-11-27,9,5961.600000000006,239.34,3.3333333333333335,30,513.6,0.0,30,1989-11-08,-11,29.51,Good,35.714285714285715,21
37,1989-12-03,1989-12-03,1,777.6000000000007,217.35999999999999,0.0,30,494.96,0.0,30,1989-12-14,11,29.43,Good,10.526315789473685,19
38,1989-12-06,1989-12-12,7,4320.000000000004,209.52,0.0,30,483.04,0.0,30,1989-12-14,8,29.43,Good,10.526315789473685,19
39,1990-06-16,1990-06-21,6,10022.400000000009,365.49,60.0,30,654.89,26.666666666666668,30,1990-06-06,-10,29.36,Good,21.05263157894737,19
40,1990-06-25,1990-06-30,6,11923.20000000001,328.77,46.666666666666664,30,681.6,33.333333333333336,30,1990-07-05,10,29.38,Good,25.0,26
41,1990-07-03,1990-07-03,1,1036.8000000000009,333.98,60.0,30,672.82,33.333333333333336,30,1990-07-05,2,29.38,Good,25.0,26
42,1990-07-08,1990-08-18,42,308793.6000000001,327.15,60.0,30,662.78,26.666666666666668,30,1990-07-05,-3,29.38,Good,25.0,26
48,1991-06-01,1991-06-01,1,432.0000000000004,309.06,31.666666666666668,30,573.72,5.0,30,1991-06-11,10,29.28,Good,18.42105263157895,19
49,1991-06-11,1991-06-14,4,1296.0000000000011,312.14,35.0,30,569.22,5.0,30,1991-06-11,0,29.28,Good,18.42105263157895,19
50,1991-06-22,1991-06-23,2,432.00000000000034,333.62,51.666666666666664,30,576.75,5.0,30,1991-06-11,-11,29.28,Good,18.42105263157895,19
51,1991-06-29,1991-11-18,143,1196985.6000000003,347.29,55.0,30,621.52,18.333333333333332,30,1991-07-12,13,29.18,Good,9.615384615384615,26
52,1991-11-27,1991-12-17,21,76982.40000000004,364.71,35.0,30,673.97,21.666666666666668,30,1991-11-12,-15,29.23,Good,9.523809523809524,21
53,1992-05-20,1992-05-28,9,20736.000000000015,210.13,1.6666666666666667,30,573.35,5.0,30,1992-05-19,-1,29.28,Good,7.142857142857143,21
58,1992-10-23,1992-10-24,2,3024.0000000000027,446.22,91.66666666666667,30,704.15,38.333333333333336,30,1992-10-06,-17,29.2,Good,19.565217391304348,23
59,1992-10-31,1992-11-02,3,1555.2000000000014,443.1,85.0,30,703.93,38.333333333333336,30,1992-11-09,9,29.32,Good,21.428571428571427,21
60,1992-11-06,1992-11-09,4,4320.000000000004,447.04,91.66666666666667,30,700.84,38.333333333333336,30,1992-11-09,3,29.32,Good,21.428571428571427,21
61,1993-08-20,1993-08-20,1,86.40000000000008,314.32,48.333333333333336,30,804.9,75.0,30,1993-08-10,-10,29.3,Good,27.5,20
62,1993-09-01,1993-09-02,2,259.2000000000002,323.12,55.0,30,778.85,68.33333333333333,30,1993-09-09,8,29.23,Good,18.181818181818183,22
63,1993-09-04,1993-09-08,5,2073.6000000000017,323.12,55.0,30,768.8,58.333333333333336,30,1993-09-09,5,29.23,Good,18.181818181818183,22
64,1993-09-10,1993-09-11,2,691.2000000000006,347.0,68.33333333333333,30,787.5,61.666666666666664,30,1993-09-09,-1,29.23,Good,18.181818181818183,22
65,1996-05-21,1996-05-21,1,259.2000000000002,338.98,38.333333333333336,30,599.26,15.0,30,1996-05-08,-13,29.27,Good,2.380952380952381,21
66,1996-05-31,1996-08-28,90,790560.0000000002,329.4,38.333333333333336,30,609.72,15.0,30,1996-06-10,10,29.19,Good,2.6315789473684212,19
67,1996-09-02,1996-10-27,56,383875.2000000001,231.2,8.333333333333334,30,668.1,25.0,30,1996-09-09,7,29.23,Good,18.181818181818183,22
68,1996-10-31,1996-11-06,7,9417.600000000008,232.6,5.0,30,590.9,8.333333333333334,30,1996-11-08,8,29.17,Good,2.380952380952381,21
69,1997-08-08,1997-08-22,15,29462.400000000023,316.27,61.666666666666664,30,628.4,18.333333333333332,30,1997-08-14,6,29.21,Good,20.0,20
70,1997-09-02,1997-10-07,36,107654.40000000005,280.47,35.0,30,610.94,5.0,30,1997-09-11,9,29.17,Good,11.363636363636363,22
71,1997-10-19,1997-11-05,18,51062.40000000004,358.67,51.666666666666664,30,644.69,11.666666666666666,30,1997-10-07,-12,29.16,Good,15.217391304347826,23
72,1997-11-12,1997-11-19,8,6393.600000000006,348.32,31.666666666666668,30,605.71,8.333333333333334,30,1997-11-11,-1,29.23,Good,9.523809523809524,21
73,1997-11-26,1997-11-27,2,691.2000000000006,369.37,45.0,30,578.58,8.333333333333334,30,1997-12-09,13,29.38,Good,7.894736842105263,19
74,2002-09-05,2002-09-05,1,1036.8000000000009,336.15,65.0,30,743.71,45.0,30,2002-09-06,1,29.34,Good,34.09090909090909,22
78,2003-09-30,2003-10-04,5,3888.000000000003,199.57,1.6666666666666667,30,738.42,41.666666666666664,30,,,,,,
79,2003-10-11,2003-10-21,11,14256.000000000013,207.68,1.6666666666666667,30,742.45,41.666666666666664,30,,,,,,
80,2006-06-22,2006-06-23,2,172.80000000000015,300.4,31.666666666666668,30,658.51,31.666666666666668,30,,,,,,
81,2006-06-29,2006-07-12,14,36547.200000000026,290.65,28.333333333333332,30,653.27,25.0,30,,,,,,
82,2006-07-14,2006-07-25,12,73353.60000000002,289.96,31.666666666666668,30,653.98,25.0,30,,,,,,
83,2006-08-07,2006-08-12,6,46051.20000000001,295.54,41.666666666666664,30,618.02,11.666666666666666,30,,,,,,
84,2006-08-19,2006-08-20,2,1814.4000000000015,288.12,38.333333333333336,30,635.65,11.666666666666666,30,,,,,,
85,2006-08-23,2006-08-23,1,518.4000000000004,287.77,38.333333333333336,30,630.15,11.666666666666666,30,,,,,,
86,2006-08-27,2006-08-28,2,1209.600000000001,306.93,45.0,30,639.76,15.0,30,,,,,,
87,2006-09-02,2006-09-13,12,29289.600000000017,313.86,48.333333333333336,30,645.83,15.0,30,,,,,,
88,2006-09-16,2006-09-22,7,10713.60000000001,320.53,45.0,30,642.22,15.0,30,,,,,,
89,2006-09-25,2006-09-25,1,86.40000000000008,325.87,48.333333333333336,30,661.78,21.666666666666668,30,,,,,,
90,2006-09-28,2006-09-28,1,864.0000000000008,312.61,45.0,30,659.15,21.666666666666668,30,,,,,,
91,2006-10-03,2006-10-05,3,2419.200000000002,325.31,45.0,30,668.97,25.0,30,,,,,,
92,2006-10-10,2006-10-10,1,432.0000000000004,328.89,45.0,30,685.96,35.0,30,,,,,,
95,2009-08-10,2009-09-02,24,73008.00000000003,253.02,21.666666666666668,30,715.83,41.666666666666664,30,2009-08-03,-7,29.5,Good,72.5,20
98,2009-10-08,2009-10-10,3,1382.4000000000012,268.23,21.666666666666668,30,651.25,15.0,30,2009-10-13,5,29.37,Good,41.30434782608695,23
99,2009-10-12,2009-10-21,10,50889.60000000002,270.69,21.666666666666668,30,657.36,15.0,30,2009-10-13,1,29.37,Good,41.30434782608695,23
102,2009-11-06,2009-11-12,7,13564.800000000012,290.49,15.0,30,640.03,15.0,30,2009-11-06,0,29.42,Good,30.952380952380953,21
103,2009-11-18,2009-11-21,4,4320.000000000004,338.51,25.0,30,661.59,21.666666666666668,30,2009-11-06,-12,29.42,Good,30.952380952380953,21
104,2011-07-02,2011-07-08,7,9590.400000000009,285.37,25.0,30,639.14,21.666666666666668,30,2011-06-21,-11,29.43,Good,28.94736842105263,19
105,2011-07-12,2011-07-15,4,2764.8000000000025,248.83,11.666666666666666,30,652.28,21.666666666666668,30,2011-07-26,14,29.45,Good,46.15384615384615,26
106,2011-07-28,2011-08-04,8,16416.00000000001,233.34,11.666666666666666,30,664.04,21.666666666666668,30,2011-07-26,-2,29.45,Good,46.15384615384615,26
107,2011-08-07,2011-08-26,20,62812.80000000003,248.95,15.0,30,670.49,25.0,30,2011-07-26,-12,29.45,Good,46.15384615384615,26
108,2011-08-31,2011-08-31,1,172.80000000000015,254.25,15.0,30,631.19,11.666666666666666,30,2011-08-24,-7,29.52,Good,82.5,20
109,2011-09-02,2011-11-03,63,332294.40000000014,254.14,21.666666666666668,30,631.1,8.333333333333334,30,2011-08-24,-9,29.52,Good,82.5,20
110,2011-11-06,2011-12-16,41,183254.40000000008,315.2,21.666666666666668,30,591.34,5.0,30,2011-10-25,-12,29.35,Good,32.608695652173914,23
111,2012-01-16,2012-01-18,3,1296.0000000000011,313.44,11.666666666666666,30,576.7,8.333333333333334,30,2012-01-19,3,29.39,Good,6.818181818181818,22
112,2014-09-13,2014-09-14,2,518.4000000000004,372.07,81.66666666666667,30,1090.85,95.0,30,,,,,,
113,2015-07-10,2015-07-12,3,2160.000000000002,257.15,11.666666666666666,30,761.3,48.333333333333336,30,2015-07-22,12,29.45,Good,46.15384615384615,26
114,2015-07-21,2015-07-23,3,3801.6000000000035,229.05,11.666666666666666,30,743.99,45.0,30,2015-07-22,1,29.45,Good,46.15384615384615,26
115,2015-08-08,2015-08-18,11,13564.800000000012,261.54,25.0,30,764.21,51.666666666666664,30,2015-08-18,10,29.47,Good,65.0,20
116,2015-08-22,2015-08-23,2,1900.8000000000015,255.49,25.0,30,745.96,45.0,30,2015-08-18,-4,29.47,Good,65.0,20
117,2015-08-30,2015-08-30,1,345.6000000000003,295.39,38.333333333333336,30,762.29,48.333333333333336,30,2015-08-18,-12,29.47,Good,65.0,20
119,2015-09-28,2015-10-05,8,8035.200000000007,348.09000000000003,61.666666666666664,30,824.62,75.0,30,2015-09-18,-10,29.59,Good,81.81818181818181,22
120,2017-06-26,2017-06-26,1,1296.0000000000011,287.56,25.0,30,536.9,1.6666666666666667,30,2017-06-26,0,29.57,Good,65.78947368421052,19
121,2017-08-25,2017-08-30,6,4838.400000000004,360.56,71.66666666666667,30,664.76,18.333333333333332,30,2017-07-31,-25,29.61,Good,86.53846153846153,26
122,2017-09-02,2017-09-08,7,3283.200000000003,334.79,61.666666666666664,30,671.37,31.666666666666668,30,2017-07-31,-33,29.61,Good,86.53846153846153,26
123,2017-10-13,2017-10-14,2,691.2000000000006,381.4,71.66666666666667,30,681.15,28.333333333333332,30,2017-10-31,18,29.41,Good,45.65217391304348,23
124,2017-10-16,2017-10-17,2,950.4000000000008,380.65999999999997,71.66666666666667,30,671.45,21.666666666666668,30,2017-10-31,15,29.41,Good,45.65217391304348,23
125,2018-10-12,2018-10-13,2,1036.8000000000009,247.72,8.333333333333334,30,669.3,21.666666666666668,30,2018-09-28,-14,29.47,Good,56.81818181818182,22
126,2019-07-24,2019-07-27,4,7344.000000000006,292.63,45.0,30,691.54,35.0,30,2019-07-29,5,29.46,Good,51.92307692307692,26
127,2019-07-30,2019-08-18,20,47433.60000000003,294.57,51.666666666666664,30,688.02,35.0,30,2019-07-29,-1,29.46,Good,51.92307692307692,26
128,2019-08-22,2019-09-28,38,190598.40000000008,293.08,41.666666666666664,30,684.55,31.666666666666668,30,2019-08-20,-2,29.45,Good,52.5,20
129,2020-08-05,2020-08-16,12,18576.00000000002,313.07,58.333333333333336,30,843.09,75.0,30,,,,,,
130,2020-08-22,2020-08-25,4,3715.2000000000035,274.8,31.666666666666668,30,847.1,78.33333333333333,30,,,,,,
131,2020-09-10,2020-09-23,14,24105.60000000002,237.36,11.666666666666666,30,879.64,85.0,30,,,,,,
