station,station_guid,wiski_id,distance_from_fakenham_km,date_opened,measure_id,record_start,record_end,selected_period_rows,numeric_coverage_pct,accepted_coverage_pct,accepted_days
North Walsham,f1be9f13-48b4-4c97-a53a-beb647e33bbb,214274,37.593,1996-04-30,f1be9f13-48b4-4c97-a53a-beb647e33bbb-rainfall-t-86400-mm-qualified,1996-04-30,2026-09-12,10107,84.557,37.038,4329
Morley St Botolph,706f9552-1259-4257-a651-887f41cada30,204711,32.805,2007-05-01,706f9552-1259-4257-a651-887f41cada30-rainfall-t-86400-mm-qualified,2007-05-01,2026-09-12,6089,52.096,36.302,4243
Poringland,141e8eb2-f567-4faf-9ba5-ba839a38b8ed,208744,46.045,2007-04-17,141e8eb2-f567-4faf-9ba5-ba839a38b8ed-rainfall-t-86400-mm-qualified,2007-04-17,2026-09-12,6103,52.216,36.071,4216
Salle,95faef82-71d3-419c-a09f-b1e300a6c209,207598,21.258,1991-09-30,95faef82-71d3-419c-a09f-b1e300a6c209-rainfall-t-86400-mm-qualified,1991-09-30,2026-09-12,11688,91.692,35.498,4149
Hethersett,23e61815-8dbd-4cf3-bcfd-b7f6cf555f08,204945,33.133,1991-09-30,23e61815-8dbd-4cf3-bcfd-b7f6cf555f08-rainfall-t-86400-mm-qualified,1991-09-30,2026-03-22,11688,91.085,34.651,4050
East Dereham,af18e6ea-2241-4df7-af69-b9c4d782b3a2,207061,16.57,2000-07-05,af18e6ea-2241-4df7-af69-b9c4d782b3a2-rainfall-t-86400-mm-qualified,2000-07-05,2026-09-12,8580,72.604,32.503,3799
Burnham Overy Town,84c40b61-9bda-430d-b56e-d25e2280a46e,202566,14.881,2007-05-02,84c40b61-9bda-430d-b56e-d25e2280a46e-rainfall-t-86400-mm-qualified,2007-05-02,2026-09-12,6088,51.728,32.059,3747
Forncett End,82a8f957-7879-4f31-9c3f-dc7499ad5d34,205363,42.682,1997-01-01,82a8f957-7879-4f31-9c3f-dc7499ad5d34-rainfall-t-86400-mm-qualified,1997-01-01,2026-09-12,9861,84.069,30.501,3565
Attleborough,bdc17251-0c5b-4dba-a639-8555435345ad,189543,35.813,2003-05-11,bdc17251-0c5b-4dba-a639-8555435345ad-rainfall-t-86400-mm-qualified,2003-05-11,2026-09-12,7540,64.425,29.997,3506
Fakenham,7d35fb9f-e546-437a-98f8-6dfec0697563,206498,0.49,1991-09-30,7d35fb9f-e546-437a-98f8-6dfec0697563-rainfall-t-86400-mm-qualified,1991-09-30,2026-09-12,11688,88.441,29.586,3458
Denver Complex,7aaa5d37-637e-4f99-afb0-3aba8112bdfa,194080,43.345,1996-01-31,7aaa5d37-637e-4f99-afb0-3aba8112bdfa_194080-rainfall-t-86400-mm-qualified,1996-01-31,2026-09-12,10197,85.104,28.636,3347
Thetford,7215adf8-b143-4d2b-8afe-e02986ae163d,190329,45.116,1991-07-31,7215adf8-b143-4d2b-8afe-e02986ae163d-rainfall-t-86400-mm-qualified,1991-07-31,2026-09-12,11688,96.15,25.702,3004
Heacham,a8e1f821-33ce-4621-904e-395b6dd74df7,201949,25.978,1995-11-03,a8e1f821-33ce-4621-904e-395b6dd74df7-rainfall-t-86400-mm-qualified,1995-11-03,2026-09-12,10286,87.089,23.973,2802
Grimston,b8bec9be-48e3-4900-88bc-5a8c751b36a3,199736,22.238,1999-01-28,b8bec9be-48e3-4900-88bc-5a8c751b36a3-rainfall-t-86400-mm-qualified,1999-01-28,2026-09-12,9104,74.247,23.349,2729
Castle Acre,eb008720-491b-418d-8cc3-8e4512d1517b,195140,17.062,1995-10-31,eb008720-491b-418d-8cc3-8e4512d1517b-rainfall-t-86400-mm-qualified,1995-10-31,2026-09-12,10289,86.088,15.323,1791
Burgh Sluice,754efe1c-ac6d-4768-b84c-157baa3e4f04,138094,46.878,1986-01-01,754efe1c-ac6d-4768-b84c-157baa3e4f04-rainfall-t-86400-mm-qualified,1986-01-01,2026-09-12,11688,94.55,15.084,1763
