period_type,year,start_date,end_date,expected_days,observed_rows,numeric_days,accepted_days,good_only_days,missing_dates,longest_missing_run_days,numeric_coverage_pct,accepted_coverage_pct,good_only_coverage_pct,boundary_period
water_year,1966,1965-10-01,1966-09-30,365,153,153,153,152,212,212,41.918,41.918,41.644,True
water_year,1967,1966-10-01,1967-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1968,1967-10-01,1968-09-30,366,366,366,366,366,0,0,100.0,100.0,100.0,False
water_year,1969,1968-10-01,1969-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1970,1969-10-01,1970-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1971,1970-10-01,1971-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1972,1971-10-01,1972-09-30,366,366,366,366,366,0,0,100.0,100.0,100.0,False
water_year,1973,1972-10-01,1973-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1974,1973-10-01,1974-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1975,1974-10-01,1975-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1976,1975-10-01,1976-09-30,366,366,366,366,366,0,0,100.0,100.0,100.0,False
water_year,1977,1976-10-01,1977-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1978,1977-10-01,1978-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1979,1978-10-01,1979-09-30,365,365,348,317,317,0,0,95.342,86.849,86.849,False
water_year,1980,1979-10-01,1980-09-30,366,366,366,366,77,0,0,100.0,100.0,21.038,False
water_year,1981,1980-10-01,1981-09-30,365,365,365,365,350,0,0,100.0,100.0,95.89,False
water_year,1982,1981-10-01,1982-09-30,365,365,365,364,364,0,0,100.0,99.726,99.726,False
water_year,1983,1982-10-01,1983-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1984,1983-10-01,1984-09-30,366,366,366,366,354,0,0,100.0,100.0,96.721,False
water_year,1985,1984-10-01,1985-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1986,1985-10-01,1986-09-30,365,365,365,365,352,0,0,100.0,100.0,96.438,False
water_year,1987,1986-10-01,1987-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
water_year,1988,1987-10-01,1988-09-30,366,366,366,366,366,0,0,100.0,100.0,100.0,False
water_year,1989,1988-10-01,1989-09-30,365,365,365,365,365,0,0,100.0,100.0,100.0,False
